"SYSTEMCODENUMBER","NAME","SHORTDESCRIPTION","LONGDESCRIPTION","NORTHING","EASTING","NETWORKPATHREFERENCE","LINKDISTANCE","CREATIONDATE","DELETIONDATE","QUALITYSTATEMENTID","faults","DATASOURCE_TYPEID","TYPEID","LASTUPDATED","TRANSPORTLINKREFERENCE","AIRQUALITY_LASTUPDATED","ISENVCONDITIONENABLED"
"1001",EnviroWatch MOTE,A167 Durham Road / Dryden Road,A167 Durham Road / Dryden Road,561593,425763,"5000005202784957",,"2017-09-05 10:37:08.816","2024-04-09 18:04:56.396",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1002",EnviroWatch MOTE,A167 Durham Road / Dryden Road,A167 Durham Road / Dryden Road,561678,425766,"4000000007744104",,"2017-09-05 10:37:09.300","2024-04-09 18:05:00.193",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1003",EnviroWatch MOTE,A167 Durham Road / Dryden Road,A167 Durham Road / Dryden Road,561659,425795,"4000000008001122",,"2017-09-05 10:37:09.396","2024-04-09 18:12:42.796",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1004",EnviroWatch MOTE,A167 Durham Road / Dryden Road,A167 Durham Road / Dryden Road,561636,425844,"4000000007745493",,"2017-09-05 10:37:09.460","2024-04-09 18:05:03.460",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1005",EnviroWatch MOTE,A167 Durham Road / Prince Consor,A167 Durham Road / Prince Consort Road,561711,425766,"4000000007744101",,"2017-09-05 10:37:09.520","2024-04-09 18:12:48.546",1,"1900-01-01 00:00:00.000",1805,9,"2020-07-27 06:47:02.600",,"2020-07-27 06:47:02.600",Y
"1006",EnviroWatch MOTE,A167 Durham Road / Prince Consor,A167 Durham Road / Prince Consort Road,561768,425752,"5000005119203013",,"2017-09-05 10:37:09.613","2024-04-09 18:12:55.250",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1007",EnviroWatch MOTE,A167 Durham Road / Prince Consor,A167 Durham Road / Prince Consort Road,561776,425768,"4000000007749138",,"2017-09-05 10:37:09.660","2024-04-09 18:12:52.126",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1008",EnviroWatch MOTE,A167 Durham Road / Prince Consor,A167 Durham Road / Prince Consort Road,561742,425786,"4000000007749139",,"2017-09-05 11:46:15.650","2024-04-09 18:13:02.830",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1101",EnviroWatch MOTE,Corporation Street / Firebrick A,Corporation Street / Firebrick Avenue,564183,424161,dummy,,"2017-04-04 10:10:16.953","2019-01-30 12:43:40.250",1,"1900-01-01 00:00:00.000",1805,2,"2017-04-04 10:55:01.033",,"2017-04-04 10:55:01.033",Y
"1102",EnviroWatch MOTE,Firebrick Avenue / Draymans Way,Firebrick Avenue / Draymans Way,564256,424177,"5000005154256554",,"2017-04-04 10:10:17.063","2024-04-09 18:04:33.550",1,"1900-01-01 00:00:00.000",1805,9,"2017-11-29 15:10:01.116",,"2017-11-29 15:10:01.116",Y
"1103",EnviroWatch MOTE,Firebrick Avenue / Bath Lane,Firebrick Avenue / Bath Lane,564300,424187,"5000005154256554",,"2017-04-04 10:10:17.186","2024-04-09 18:04:45.133",1,"1900-01-01 00:00:00.000",1805,9,"2017-11-29 15:10:01.116",,"2017-11-29 15:10:01.116",Y
"1104",EnviroWatch MOTE,Corporation Street / Cross Villa,Corporation Street / Cross Villa Place No. 4,564223,424076,"5000005202752471",,"2017-04-04 10:10:17.233","2024-04-09 18:03:50.933",1,"1900-01-01 00:00:00.000",1805,9,"2017-11-29 15:22:00.820",,"2017-11-29 15:22:00.820",Y
"1105",EnviroWatch MOTE,Draymans Way / Fry Richardson Av,Draymans Way / Fry Richardson Ave,564262,424126,dummy,,"2017-04-04 10:10:17.313","2024-04-09 18:11:34.920",1,"1900-01-01 00:00:00.000",1805,9,"2017-11-29 15:10:01.116",,"2017-11-29 15:10:01.116",Y
"1106",EnviroWatch MOTE,Fry Richardson Ave / Science Squ,Fry Richardson Ave / Science Square,564337,424116,dummy,,"2017-04-04 10:10:17.373","2024-04-09 18:04:28.763",1,"1900-01-01 00:00:00.000",1805,9,"2017-12-04 14:11:01.913",,"2017-12-04 14:11:01.913",Y
"1107",EnviroWatch MOTE,Wellington Street / Science Squa,Wellington Street / Science Square,564398,424154,"4000000007746949",,"2017-04-04 10:10:17.420","2024-04-09 18:04:14.840",1,"1900-01-01 00:00:00.000",1805,9,"2017-11-29 15:01:00.763",,"2017-11-29 15:01:00.763",Y
"1108",EnviroWatch MOTE,Wellington Street / Snow Gardens,Wellington Street / Snow Gardens,564461,424096,"4000000007746949",,"2017-04-04 10:10:17.453","2024-04-09 18:04:48.406",1,"1900-01-01 00:00:00.000",1805,9,"2017-11-29 15:04:00.720",,"2017-11-29 15:04:00.720",Y
"1109",EnviroWatch MOTE,Oystershell Lane / Knowledge Squ,Oystershell Lane / Knowledge Square,564339,424033,dummy,,"2017-04-04 10:10:17.530","2024-04-09 18:04:39.320",1,"1900-01-01 00:00:00.000",1805,9,"2017-12-03 14:23:01.456",,"2017-12-03 14:23:01.456",Y
"1110",EnviroWatch MOTE,Corporation Street / Buckingham,Corporation Street / Buckingham Street,564218,423850,"4000000007748775",,"2017-04-04 10:10:17.593","2024-04-09 18:04:07.793",1,"1900-01-01 00:00:00.000",1805,9,"2017-11-29 15:35:00.913",,"2017-11-29 15:35:00.913",Y
"1112",EnviroWatch MOTE,Corporation Street / Colliery Av,Corporation Street / Colliery Avenue,564220,423992,"5000005173054710",,"2017-04-04 10:10:17.703","2024-04-09 18:11:41.750",1,"1900-01-01 00:00:00.000",1805,9,"2017-11-29 15:35:00.913",,"2017-11-29 15:35:00.913",Y
"1113",EnviroWatch MOTE,Bath Lane / The Core Building,Bath Lane / The Core Building,564304,424222,"4000000007970113",,"2017-04-04 10:10:17.750","2024-04-09 18:04:52.113",1,"1900-01-01 00:00:00.000",1805,9,"2017-11-29 14:56:00.686",,"2017-11-29 14:56:00.686",Y
"1114",EnviroWatch MOTE,Wellington Street / Pitt Street,Wellington Street / Pitt Street,564498,424073,"4000000007746949",,"2017-04-04 10:10:17.796","2024-04-09 18:05:46.303",1,"1900-01-01 00:00:00.000",1805,9,"2017-11-29 15:28:01.576",,"2017-11-29 15:28:01.576",Y
"1201",EnviroWatch MOTE,A167 Durham Road / Chandos Stree,A167 Durham Road / Chandos Street,561901,425791,"5000005202784958",,"2017-09-05 10:37:09.770","2024-04-09 18:11:38.610",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1202",EnviroWatch MOTE,Shipcote Terrace / A167 Durham R,Shipcote Terrace / A167 Durham Road,561937,425792,"4000000007749812",,"2017-09-05 10:37:09.850","2024-04-09 18:11:52.186",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1203",EnviroWatch MOTE,Shipcote Terrace / A167 Durham R,Shipcote Terrace / A167 Durham Road,561940,425837,"4000000007749881",,"2017-09-05 10:37:09.910","2024-04-09 18:05:39.426",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1204",EnviroWatch MOTE,Shipcote Lane / A167 Durham Road,Shipcote Lane / A167 Durham Road,561920,425753,"4000000007749763",,"2017-09-05 10:37:09.990","2024-04-09 18:11:48.923",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1205",EnviroWatch MOTE,Shipcote Lane / A167 Durham Road,Shipcote Lane / A167 Durham Road,561880,425694,"4000000007749763",,"2017-09-05 10:37:10.100","2024-04-09 18:11:45.110",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1206",EnviroWatch MOTE,A167 Durham Road / Shipcote Terr,A167 Durham Road / Shipcote Terrace,561971,425783,"5000005202784954",,"2017-09-05 10:37:10.160","2024-04-10 14:20:04.586",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1207",EnviroWatch MOTE,A167 Durham Road / Shipcote Terr,A167 Durham Road / Shipcote Terrace,561999,425760,"4000000007749143",,"2017-09-05 10:37:10.240","2024-04-10 14:20:08.320",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1208",EnviroWatch MOTE,A167 Durham Road / Raby Street,A167 Durham Road / Raby Street,561838,425774,"4000000007749141",,"2017-09-05 10:37:10.300","2024-04-09 18:05:30.146",1,"1900-01-01 00:00:00.000",1805,9,"2022-08-17 11:18:01.606",,"2022-08-17 11:18:01.606",Y
"1306",EnviroWatch MOTE,A184 / Gateshead Interchange,A184 / Gateshead Interchange,562957,425305,"4000000007749061",,"2015-08-25 10:49:01.850","2024-04-09 18:05:26.193",1,"1900-01-01 00:00:00.000",1805,9,"2021-09-06 14:10:04.763",,"2021-09-06 14:10:04.763",Y
"1307",EnviroWatch MOTE,A184 / B1426 Prince Consort Road,A184 / B1426 Prince Consort Road,562935,425339,"4000000007749095",,"2015-08-25 10:49:02.240","2024-04-10 14:20:16.180",1,"1900-01-01 00:00:00.000",1805,9,"2021-09-06 14:10:04.763",,"2021-09-06 14:10:04.763",Y
"1308",EnviroWatch MOTE,A184 / Walker Terrace,A184 / Walker Terrace,563002,425327,"4000000007749095",,"2015-08-25 10:49:02.350","2024-04-09 18:13:40.020",1,"1900-01-01 00:00:00.000",1805,9,"2021-09-06 14:10:04.763",,"2021-09-06 14:10:04.763",Y
"1309",EnviroWatch MOTE,A184 / Half Moon Lane,A184 / Half Moon Lane,563079,425344,"4000000008000354",,"2015-08-25 10:49:02.473","2024-04-09 18:10:57.530",1,"1900-01-01 00:00:00.000",1805,9,"2021-09-06 14:10:04.763",,"2021-09-06 14:10:04.763",Y
"1310",EnviroWatch MOTE,A184 / Mulgrave Terrace,A184 / Mulgrave Terrace,563045,425305,"4000000007750400",,"2015-08-25 10:49:02.770","2024-04-10 14:20:38.620",1,"1900-01-01 00:00:00.000",1805,9,"2021-09-06 14:10:04.763",,"2021-09-06 14:10:04.763",Y
"1401",EnviroWatch MOTE,Neville Street / Wesgate Road /,Neville Street / Wesgate Road / Hotel,563938,424746,"5000005157645551",,"2015-08-25 10:49:02.943","2016-01-27 10:52:40.830",1,"1900-01-01 00:00:00.000",1805,2,"2015-12-21 13:07:00.276",,"2015-12-21 13:07:00.276",Y
"1402",EnviroWatch MOTE,Neville Street / Westgate Road /,Neville Street / Westgate Road / Ped Island,563952,424740,"5000005157645569",,"2015-08-25 10:49:03.083","2016-01-27 10:52:44.583",1,"1900-01-01 00:00:00.000",1805,2,"2015-12-21 13:04:00.290",,"2015-12-21 13:04:00.290",Y
"1403",EnviroWatch MOTE,Neville Street / Grainger Street,Neville Street / Grainger Street,563916,424659,"5000005157645570",,"2015-08-25 10:49:03.206","2016-01-27 10:52:47.816",1,"1900-01-01 00:00:00.000",1805,2,"2015-12-21 13:10:00.563",,"2015-12-21 13:10:00.563",Y
"1404",EnviroWatch MOTE,Neville Street / Central Station,Neville Street / Central Station Portico,563906,424622,"5000005210607383",,"2015-08-25 10:49:03.333","2016-01-27 10:52:51.676",1,"1900-01-01 00:00:00.000",1805,2,"2015-12-21 13:18:00.273",,"2015-12-21 13:18:00.273",Y
"1405",EnviroWatch MOTE,Westgate Road / Grainger Street,Westgate Road / Grainger Street,563985,424654,"5000005202752462",,"2015-08-25 10:49:03.473","2016-01-27 10:52:55.456",1,"1900-01-01 00:00:00.000",1805,2,"2015-12-21 13:30:00.336",,"2015-12-21 13:30:00.336",Y
"1406",EnviroWatch MOTE,Westgate Road / Grainger Street,Westgate Road / Grainger Street / Church,563999,424672,"4000000007749718",,"2015-08-25 10:49:03.630","2016-01-27 10:52:58.613",1,"1900-01-01 00:00:00.000",1805,2,"2015-12-21 13:30:00.336",,"2015-12-21 13:30:00.336",Y
"1407",EnviroWatch MOTE,Neville Street / Bewick Street,Neville Street / Bewick Street,563872,424519,"5000005157645557",,"2015-08-25 10:49:03.753","2016-01-27 10:53:01.896",1,"1900-01-01 00:00:00.000",1805,2,"2015-12-21 13:23:00.296",,"2015-12-21 13:23:00.296",Y
"1408",EnviroWatch MOTE,A186 Neville Street / Westgate R,A186 Neville Street / Westgate Road,563938,424746,"5000005157645551",,"2016-01-27 10:50:34.203","2024-04-09 18:13:14.190",1,"1900-01-01 00:00:00.000",1805,9,"2022-09-07 10:30:23.140",,"2022-09-07 10:30:23.140",Y
"1409",EnviroWatch MOTE,A186 Westgate Road / Neville Str,A186 Westgate Road / Neville Street,563952,424740,"5000005157645569",,"2016-01-27 10:50:34.673","2024-04-09 18:13:17.406",1,"1900-01-01 00:00:00.000",1805,9,"2022-09-07 10:17:00.326",,"2022-09-07 10:17:00.326",Y
"1410",EnviroWatch MOTE,A186 Neville Street / Central St,A186 Neville Street / Central Station Car Park Entry,563916,424659,"5000005157645570",,"2016-01-27 10:50:34.733","2024-04-09 18:11:57.156",1,"1900-01-01 00:00:00.000",1805,9,"2022-09-07 10:17:00.326",,"2022-09-07 10:17:00.326",Y
"1411",EnviroWatch MOTE,A186 Neville Street / Grainger S,A186 Neville Street / Grainger Street,563906,424622,"5000005210607383",,"2016-01-27 10:50:34.813","2024-04-09 18:12:00.703",1,"1900-01-01 00:00:00.000",1805,9,"2022-09-07 10:21:18.413",,"2022-09-07 10:21:18.413",Y
"1412",EnviroWatch MOTE,A186 Neville Street / Bewick Str,A186 Neville Street / Bewick Street,563872,424519,"5000005157645557",,"2017-04-04 10:10:18.046","2024-04-10 14:20:11.710",1,"1900-01-01 00:00:00.000",1805,9,"2022-09-06 15:16:29.796",,"2022-09-06 15:16:29.796",Y
"1413",EnviroWatch MOTE,A186 Westgate Road / Grainger St,A186 Westgate Road / Grainger Street,563985,424654,"5000005202752462",,"2016-01-27 10:50:34.876","2024-04-09 18:05:19.020",1,"1900-01-01 00:00:00.000",1805,9,"2022-09-06 19:00:44.616",,"2022-09-06 19:00:44.616",Y
"1414",EnviroWatch MOTE,Grainger Street / A186 Westgate,Grainger Street / A186 Westgate Road,563999,424672,"4000000007749718",,"2016-01-27 10:50:34.940","2024-04-09 18:05:22.756",1,"1900-01-01 00:00:00.000",1805,9,"2022-09-07 10:28:19.450",,"2022-09-07 10:28:19.450",Y
"1504",EnviroWatch MOTE,Bottle Bank / Hills Street,Bottle Bank / Hills Street,563532,425440,"4000000008001120",,"2015-08-25 10:49:03.880","2024-04-09 18:05:06.803",1,"1900-01-01 00:00:00.000",1805,9,"2024-01-03 05:00:03.810",,"2024-01-03 05:00:03.810",Y
"1505",EnviroWatch MOTE,Half Moon Lane / Hills Street,Half Moon Lane / Hills Street,563519,425434,"4000000008016304",,"2015-08-25 10:49:04.003","2024-04-09 18:13:51.880",1,"1900-01-01 00:00:00.000",1805,9,"2024-01-03 05:00:03.810",,"2024-01-03 05:00:03.810",Y
"1506",EnviroWatch MOTE,A167 High Street / Church Street,A167 High Street / Church Street,563524,425486,"4000000008001111",,"2015-08-25 10:49:04.113","2024-04-10 14:20:22.120",1,"1900-01-01 00:00:00.000",1805,9,"2018-11-13 14:47:10.850",,"2018-11-13 14:47:10.850",Y
"1507",EnviroWatch MOTE,Hills Street / Half Moon Lane,Hills Street / Half Moon Lane,563510,425452,"4000000007751359",,"2017-09-05 10:37:11.566","2024-04-09 18:12:13.703",1,"1900-01-01 00:00:00.000",1805,9,"2024-01-03 05:00:03.810",,"2024-01-03 05:00:03.810",Y
"1508",EnviroWatch MOTE,A167 / Tyne Bridge,A167 / Tyne Bridge,563611,425430,"4000000007749065",,"2017-09-05 10:37:11.613","2024-04-10 14:20:27.383",1,"1900-01-01 00:00:00.000",1805,9,"2023-11-10 14:19:03.730",,"2023-11-10 14:19:03.730",Y
"1701",EnviroWatch MOTE,A189 St. James' Boulevard / A186,A189 St. James' Boulevard / A186 Westgate Road,564101,424268,"4000000007746485",,"2017-04-04 10:10:18.203","2024-04-09 18:11:10.406",1,"1900-01-01 00:00:00.000",1805,9,"2022-03-31 01:52:07.566",,"2022-03-31 01:52:07.566",Y
"1702",EnviroWatch MOTE,A189 St. James' Boulevard / A186,A189 St. James' Boulevard / A186 Westgate Road,564076,424232,"4000000007746481",,"2017-04-04 10:10:18.250","2024-04-09 18:10:37.360",1,"1900-01-01 00:00:00.000",1805,9,"2022-03-31 01:52:07.566",,"2022-03-31 01:52:07.566",Y
"1703",EnviroWatch MOTE,A189 St. James' Boulevard / Cros,A189 St. James' Boulevard / Cross Villa Place No. 1,564158,424245,"4000000007746361",,"2017-04-04 10:10:18.296","2024-04-09 18:11:07.250",1,"1900-01-01 00:00:00.000",1805,9,"2022-03-31 01:52:07.566",,"2022-03-31 01:52:07.566",Y
"1704",EnviroWatch MOTE,A189 St. James' Boulevard / Ruth,A189 St. James' Boulevard / Rutherford Street,564156,424273,"4000000007747841",,"2017-04-04 10:10:18.360","2024-04-09 18:12:22.220",1,"1900-01-01 00:00:00.000",1805,9,"2022-03-30 22:50:07.780",,"2022-03-30 22:50:07.780",Y
"1705",EnviroWatch MOTE,A189 St. James' Boulevard / Ruth,A189 St. James' Boulevard / Rutherford Street,564196,424273,"4000000007746403",,"2017-04-04 10:10:18.406","2024-04-09 18:10:43.953",1,"1900-01-01 00:00:00.000",1805,9,"2022-03-31 01:52:07.566",,"2022-03-31 01:52:07.566",Y
"1706",EnviroWatch MOTE,A189 St. James' Boulevard / Dray,A189 St. James' Boulevard / Draymans Way,564207,424251,"4000000007746361",,"2017-04-04 10:10:18.470","2024-04-09 18:10:40.470",1,"1900-01-01 00:00:00.000",1805,9,"2022-03-31 01:52:07.566",,"2022-03-31 01:52:07.566",Y
"1707",EnviroWatch MOTE,A189 St. James' Boulevard / A186,A189 St. James' Boulevard / A186 Westgate Road,564055,424232,"4000000007746400",,"2017-04-04 10:10:18.530","2024-04-09 18:10:49.780",1,"1900-01-01 00:00:00.000",1805,9,"2022-03-31 01:52:07.566",,"2022-03-31 01:52:07.566",Y
"1708",EnviroWatch MOTE,A189 St. James' Boulevard / Temp,A189 St. James' Boulevard / Temple Street,564035,424262,"4000000007748278",,"2017-04-04 10:10:18.576","2024-04-09 18:11:03.780",1,"1900-01-01 00:00:00.000",1805,9,"2022-03-31 01:52:07.566",,"2022-03-31 01:52:07.566",Y
"1901",EnviroWatch MOTE,B1311 Gallowgate / A189 St. Jame,B1311 Gallowgate / A189 St. James' Boulevard,564396,424369,"4000000007746729",,"2017-04-04 10:10:18.623","2024-04-09 18:11:00.610",1,"1900-01-01 00:00:00.000",1805,9,"2023-09-12 16:57:04.366",,"2023-09-12 16:57:04.366",Y
"1902",EnviroWatch MOTE,A189 St. James' Boulevard / B131,A189 St. James' Boulevard / B1311 Gallowgate,564381,424324,"5000005202752476",,"2017-04-04 10:10:18.670","2024-04-09 18:10:46.906",1,"1900-01-01 00:00:00.000",1805,9,"2023-09-13 12:11:03.806",,"2023-09-13 12:11:03.806",Y
"1903",EnviroWatch MOTE,A189 St. James' Boulevard / City,A189 St. James' Boulevard / Citygate,564335,424296,"4000000007746363",,"2017-04-04 10:10:18.720","2024-04-09 18:09:49.366",1,"1900-01-01 00:00:00.000",1805,9,"2023-09-12 16:58:03.456",,"2023-09-12 16:58:03.456",Y
